place,catu,grav,sexe,secu1,senc,catv,obs,obsm,choc,manv,motor,catr,circ,nbv,vosp,prof,plan,surf,infra,situ,vma,hrmn,lum,atm,col,lat,long,we,age,agg_1,agg_2,int_1,int_2,int_3,int_4,int_5,int_6,int_7,int_8,int_9
2.0,2.0,2.0,0.0,8.0,2,7,0,2,7,1,1,2,2,2,0,1,1,1,0,1,80,18,5,1,3,50.218151,2.578354,True,18.0,True,False,False,True,False,False,False,False,False,False,False
1.0,1.0,1.0,0.0,8.0,1,1,0,1,2,16,5,4,2,4,1,1,1,2,0,1,30,20,3,1,6,48.857792,2.370931,False,24.0,False,True,False,True,False,False,False,False,False,False,False
1.0,1.0,2.0,1.0,1.0,1,7,0,2,3,1,1,4,2,2,1,1,1,1,0,1,50,8,1,1,1,43.57329,1.41913,True,28.0,False,True,True,False,False,False,False,False,False,False,False
10.0,3.0,2.0,0.0,0.0,2,80,0,1,1,5,3,4,1,3,0,1,1,1,0,1,30,18,1,1,6,48.83849,2.259198,True,33.0,False,True,True,False,False,False,False,False,False,False,False
1.0,1.0,3.0,0.0,0.0,1,1,0,0,4,2,5,3,2,2,0,2,1,1,0,1,80,18,1,1,2,46.090555,5.028001,False,39.0,True,False,False,False,True,False,False,False,False,False,False
1.0,1.0,2.0,1.0,1.0,2,7,0,2,2,1,1,7,2,2,0,1,1,1,0,1,50,10,1,1,3,43.32905,5.42725,False,24.0,False,True,False,False,True,False,False,False,False,False,False
1.0,1.0,1.0,0.0,1.0,2,7,0,2,4,2,1,2,2,4,1,1,1,1,6,1,70,7,2,1,4,48.7328,2.52205,False,38.0,True,False,True,False,False,False,False,False,False,False,False
2.0,2.0,1.0,1.0,1.0,2,7,0,2,1,1,1,3,2,2,0,3,1,1,0,1,80,12,1,1,3,49.104985,-0.763389,True,32.0,True,False,False,True,False,False,False,False,False,False,False
1.0,1.0,2.0,0.0,1.0,1,7,3,0,2,1,1,2,3,2,0,1,1,1,0,1,110,10,1,1,6,47.936681,-3.91198,True,22.0,True,False,True,False,False,False,False,False,False,False,False
1.0,1.0,3.0,0.0,2.0,3,2,0,2,1,1,1,4,2,2,0,1,1,1,0,1,50,17,1,1,3,49.255163,0.808547,False,16.0,False,True,False,False,True,False,False,False,False,False,False
1.0,1.0,1.0,0.0,1.0,1,10,0,2,2,16,1,4,1,1,2,1,1,1,0,1,30,7,3,8,3,45.75395,4.8321,False,51.0,False,True,False,True,False,False,False,False,False,False,False
